fecha,Energia
2005-07-07,379876
2005-07-08,374944
2005-07-09,358467
2005-07-10,355312
2005-07-11,404655
2005-07-12,442727
2005-07-13,432308
2005-07-14,414439
2005-07-15,425478
2005-07-16,407740
2005-07-17,382960
2005-07-18,436148
2005-07-19,447244
2005-07-20,441273
2005-07-21,456138
2005-07-22,449931
2005-07-23,413011
2005-07-24,386530
2005-07-25,463802
2005-07-26,469896
2005-07-27,450338
2005-07-28,395123
2005-07-29,397841
2005-07-30,375011
2005-07-31,367890
2005-08-01,422182
2005-08-02,454249
2005-08-03,463447
2005-08-04,463633
2005-08-05,448021
2005-08-06,392406
2005-08-07,368160
2005-08-08,415568
2005-08-09,431424
2005-08-10,447830
2005-08-11,446906
2005-08-12,455137
2005-08-13,439761
2005-08-14,391398
2005-08-15,412090
2005-08-16,413994
2005-08-17,411654
2005-08-18,419627
2005-08-19,433687
2005-08-20,426603
2005-08-21,394743
2005-08-22,395624
2005-08-23,386023
2005-08-24,379418
2005-08-25,394012
2005-08-26,402527
2005-08-27,369816
2005-08-28,356970
2005-08-29,396720
2005-08-30,400613
2005-08-31,402309
2005-09-01,393144
2005-09-02,393535
2005-09-03,342233
2005-09-04,316217
2005-09-05,311779
2005-09-06,363923
2005-09-07,382731
2005-09-08,388100
2005-09-09,394511
2005-09-10,370389
2005-09-11,348709
2005-09-12,389514
2005-09-13,406914
2005-09-14,408401
2005-09-15,402455
2005-09-16,397069
2005-09-17,343907
2005-09-18,323077
2005-09-19,365151
2005-09-20,388001
2005-09-21,379076
2005-09-22,390208
2005-09-23,397189
2005-09-24,348008
2005-09-25,338376
2005-09-26,372954
2005-09-27,362321
2005-09-28,355777
2005-09-29,356396
2005-09-30,337465
2005-10-01,310935
2005-10-02,307968
2005-10-03,365887
2005-10-04,379464
2005-10-05,378818
2005-10-06,378257
2005-10-07,361193
2005-10-08,319639
2005-10-09,296601
2005-10-10,333570
2005-10-11,346259
2005-10-12,347615
2005-10-13,347211
2005-10-14,345036
2005-10-15,312818
2005-10-16,290885
2005-10-17,332366
2005-10-18,345481
2005-10-19,345962
2005-10-20,348808
2005-10-21,351957
2005-10-22,322508
2005-10-23,309110
2005-10-24,351406
2005-10-25,384220
2005-10-26,378463
2005-10-27,381186
2005-10-28,374798
2005-10-29,356124
2005-10-30,319023
2005-10-31,355900
2005-11-01,360717
2005-11-02,359458
2005-11-03,366482
2005-11-04,355437
2005-11-05,321363
2005-11-06,297402
2005-11-07,342261
2005-11-08,360477
2005-11-09,352461
2005-11-10,358070
2005-11-11,380818
2005-11-12,347697
2005-11-13,317425
2005-11-14,344259
2005-11-15,358052
2005-11-16,361286
2005-11-17,407826
2005-11-18,429338
2005-11-19,384941
2005-11-20,338880
2005-11-21,372152
2005-11-22,397077
2005-11-23,423190
2005-11-24,359929
2005-11-25,381135
2005-11-26,376303
2005-11-27,342307
2005-11-28,359242
2005-11-29,364424
2005-11-30,402753
2005-12-01,430422
2005-12-02,434591
2005-12-03,422145
2005-12-04,381274
2005-12-05,424216
2005-12-06,452480
2005-12-07,456491
2005-12-08,469529
2005-12-09,453969
2005-12-10,434174
2005-12-11,399592
2005-12-12,431646
2005-12-13,456147
2005-12-14,467822
2005-12-15,452944
2005-12-16,436802
2005-12-17,420378
2005-12-18,399843
2005-12-19,447998
2005-12-20,490009
2005-12-21,472296
2005-12-22,462576
2005-12-23,421895
2005-12-24,364633
2005-12-25,330825
2005-12-26,356554
2005-12-27,390435
2005-12-28,382465
2005-12-29,380605
2005-12-30,384758
2005-12-31,362967
2006-01-01,349908
2006-01-02,357416
2006-01-03,381582
2006-01-04,390590
2006-01-05,402381
2006-01-06,429322
2006-01-07,415271
2006-01-08,376943
2006-01-09,380215
2006-01-10,399068
2006-01-11,387345
2006-01-12,399534
2006-01-13,390828
2006-01-14,388001
2006-01-15,389082
2006-01-16,408181
2006-01-17,400904
2006-01-18,423701
2006-01-19,427149
2006-01-20,388088
2006-01-21,356617
2006-01-22,367681
2006-01-23,397063
2006-01-24,411118
2006-01-25,424363
2006-01-26,433905
2006-01-27,431464
2006-01-28,369160
2006-01-29,335286
2006-01-30,373444
2006-01-31,408368
2006-02-01,416130
2006-02-02,400865
2006-02-03,385338
2006-02-04,373438
2006-02-05,397957
2006-02-06,431121
2006-02-07,438215
2006-02-08,435860
2006-02-09,445317
2006-02-10,442802
2006-02-11,402660
2006-02-12,395649
2006-02-13,442982
2006-02-14,439648
2006-02-15,408006
2006-02-16,387670
2006-02-17,384807
2006-02-18,416999
2006-02-19,437102
2006-02-20,438880
2006-02-21,427433
2006-02-22,418133
2006-02-23,401064
2006-02-24,410209
2006-02-25,379332
2006-02-26,377658
2006-02-27,432569
2006-02-28,408409
2006-03-01,390979
2006-03-02,382136
2006-03-03,410487
2006-03-04,403899
2006-03-05,375193
2006-03-06,400838
2006-03-07,415378
2006-03-08,409989
2006-03-09,384276
2006-03-10,364770
2006-03-11,343561
2006-03-12,311911
2006-03-13,344458
2006-03-14,372939
2006-03-15,398586
2006-03-16,390383
2006-03-17,383605
2006-03-18,372426
2006-03-19,357386
2006-03-20,398594
2006-03-21,426375
2006-03-22,428725
2006-03-23,414345
2006-03-24,396348
2006-03-25,379691
2006-03-26,361189
2006-03-27,391454
2006-03-28,383872
2006-03-29,375926
2006-03-30,371711
2006-03-31,351784
2006-04-01,317325
2006-04-02,291892
2006-04-03,338275
2006-04-04,372404
2006-04-05,365879
2006-04-06,363257
2006-04-07,351999
2006-04-08,324379
2006-04-09,324852
2006-04-10,354354
2006-04-11,354529
2006-04-12,346426
2006-04-13,346047
2006-04-14,324613
2006-04-15,306980
2006-04-16,291704
2006-04-17,322270
2006-04-18,344664
2006-04-19,339645
2006-04-20,342516
2006-04-21,343506
2006-04-22,316559
2006-04-23,294942
2006-04-24,334087
2006-04-25,350401
2006-04-26,356238
2006-04-27,350440
2006-04-28,344453
2006-04-29,312709
2006-04-30,294635
2006-05-01,334462
2006-05-02,346701
2006-05-03,347418
2006-05-04,353199
2006-05-05,346905
2006-05-06,312217
2006-05-07,295445
2006-05-08,338246
2006-05-09,348275
2006-05-10,351040
2006-05-11,353126
2006-05-12,353112
2006-05-13,320055
2006-05-14,297364
2006-05-15,340713
2006-05-16,358443
2006-05-17,350660
2006-05-18,349084
2006-05-19,351609
2006-05-20,315776
2006-05-21,298577
2006-05-22,337880
2006-05-23,350606
2006-05-24,351018
2006-05-25,358747
2006-05-26,363906
2006-05-27,330576
2006-05-28,336594
2006-05-29,362314
2006-05-30,422394
2006-05-31,438549
2006-06-01,422756
2006-06-02,391644
2006-06-03,333172
2006-06-04,309836
2006-06-05,344926
2006-06-06,370326
2006-06-07,379283
2006-06-08,380024
2006-06-09,376748
2006-06-10,330631
2006-06-11,299631
2006-06-12,342548
2006-06-13,358688
2006-06-14,369288
2006-06-15,371930
2006-06-16,386621
2006-06-17,381739
2006-06-18,382646
2006-06-19,408036
2006-06-20,403287
2006-06-21,402969
2006-06-22,435372
2006-06-23,403900
2006-06-24,363097
2006-06-25,343245
2006-06-26,376933
2006-06-27,397488
2006-06-28,402710
2006-06-29,385668
2006-06-30,377924
2006-07-01,357114
2006-07-02,375039
2006-07-03,381388
2006-07-04,363675
2006-07-05,363157
2006-07-06,350819
2006-07-07,352066
2006-07-08,339190
2006-07-09,334340
2006-07-10,397293
2006-07-11,414496
2006-07-12,416410
2006-07-13,430994
2006-07-14,439165
2006-07-15,413903
2006-07-16,408822
2006-07-17,457072
2006-07-18,469436
2006-07-19,457060
2006-07-20,463387
2006-07-21,450920
2006-07-22,390013
2006-07-23,347003
2006-07-24,398172
2006-07-25,433477
2006-07-26,440474
2006-07-27,445956
2006-07-28,437789
2006-07-29,410038
2006-07-30,411251
2006-07-31,470784
2006-08-01,504301
2006-08-02,508903
2006-08-03,495606
2006-08-04,452376
2006-08-05,407091
2006-08-06,391820
2006-08-07,454338
2006-08-08,444701
2006-08-09,422083
2006-08-10,432674
2006-08-11,413756
2006-08-12,354602
2006-08-13,338773
2006-08-14,405007
2006-08-15,422007
2006-08-16,411095
2006-08-17,419431
2006-08-18,428638
2006-08-19,405404
2006-08-20,367997
2006-08-21,389585
2006-08-22,409383
2006-08-23,413329
2006-08-24,416932
2006-08-25,426526
2006-08-26,406397
2006-08-27,388121
2006-08-28,421726
2006-08-29,427195
2006-08-30,409261
2006-08-31,389067
2006-09-01,362820
2006-09-02,313392
2006-09-03,296830
2006-09-04,301603
2006-09-05,347272
2006-09-06,364553
2006-09-07,374041
2006-09-08,379345
2006-09-09,352712
2006-09-10,329098
2006-09-11,362628
2006-09-12,375380
2006-09-13,368162
2006-09-14,360892
2006-09-15,357464
2006-09-16,325552
2006-09-17,318045
2006-09-18,369447
2006-09-19,369301
2006-09-20,348532
2006-09-21,351952
2006-09-22,348964
2006-09-23,327266
2006-09-24,311335
2006-09-25,338007
2006-09-26,349959
2006-09-27,349698
2006-09-28,350376
2006-09-29,343891
2006-09-30,317184
2006-10-01,295611
2006-10-02,339659
2006-10-03,360560
2006-10-04,375621
2006-10-05,362860
2006-10-06,352070
2006-10-07,325664
2006-10-08,305084
2006-10-09,339447
2006-10-10,347961
2006-10-11,349670
2006-10-12,352514
2006-10-13,377610
2006-10-14,346929
2006-10-15,330703
2006-10-16,358420
2006-10-17,371393
2006-10-18,353935
2006-10-19,355196
2006-10-20,359779
2006-10-21,339616
2006-10-22,322855
2006-10-23,380202
2006-10-24,408410
2006-10-25,398868
2006-10-26,399605
2006-10-27,388847
2006-10-28,349187
2006-10-29,321748
2006-10-30,362357
2006-10-31,359370
2006-11-01,359279
2006-11-02,383802
2006-11-03,412852
2006-11-04,395845
2006-11-05,353127
2006-11-06,370292
2006-11-07,378696
2006-11-08,368795
2006-11-09,363799
2006-11-10,361271
2006-11-11,333668
2006-11-12,342684
2006-11-13,386242
2006-11-14,390631
2006-11-15,396767
2006-11-16,374776
2006-11-17,385359
2006-11-18,365901
2006-11-19,349374
2006-11-20,395921
2006-11-21,413432
2006-11-22,403932
2006-11-23,348328
2006-11-24,324420
2006-11-25,332726
2006-11-26,327242
2006-11-27,366301
2006-11-28,380332
2006-11-29,369523
2006-11-30,365923
2006-12-01,370534
2006-12-02,377679
2006-12-03,378675
2006-12-04,440695
2006-12-05,451037
2006-12-06,440916
2006-12-07,432034
2006-12-08,484992
2006-12-09,447642
2006-12-10,396327
2006-12-11,404700
2006-12-12,413231
2006-12-13,388617
2006-12-14,399613
2006-12-15,390168
2006-12-16,375584
2006-12-17,348675
2006-12-18,371891
2006-12-19,394945
2006-12-20,422567
2006-12-21,406089
2006-12-22,380267
2006-12-23,346316
2006-12-24,339484
2006-12-25,330589
2006-12-26,349268
2006-12-27,389728
2006-12-28,395962
2006-12-29,377890
2006-12-30,360165
2006-12-31,336130
2007-01-01,323465
2007-01-02,380477
2007-01-03,415211
2007-01-04,405265
2007-01-05,376228
2007-01-06,339717
2007-01-07,351462
2007-01-08,387868
2007-01-09,429036
2007-01-10,445637
2007-01-11,450050
2007-01-12,411313
2007-01-13,361770
2007-01-14,342273
2007-01-15,371627
2007-01-16,411870
2007-01-17,452590
2007-01-18,451475
2007-01-19,432969
2007-01-20,419948
2007-01-21,413511
2007-01-22,427168
2007-01-23,440077
2007-01-24,447165
2007-01-25,451824
2007-01-26,470893
2007-01-27,406887
2007-01-28,393967
2007-01-29,488070
2007-01-30,472247
2007-01-31,487836
2007-02-01,469535
2007-02-02,454211
2007-02-03,463711
2007-02-04,462032
2007-02-05,512850
2007-02-06,547924
2007-02-07,499256
2007-02-08,506968
2007-02-09,508922
2007-02-10,475580
2007-02-11,463641
2007-02-12,460770
2007-02-13,460924
2007-02-14,469175
2007-02-15,508297
2007-02-16,512245
2007-02-17,482982
2007-02-18,439716
2007-02-19,478340
2007-02-20,428626
2007-02-21,410989
2007-02-22,414980
2007-02-23,433883
2007-02-24,422310
2007-02-25,383771
2007-02-26,408300
2007-02-27,421287
2007-02-28,424110
2007-03-01,415933
2007-03-02,398815
2007-03-03,384967
2007-03-04,403982
2007-03-05,439213
2007-03-06,445180
2007-03-07,434407
2007-03-08,429977
2007-03-09,411379
2007-03-10,357599
2007-03-11,328671
2007-03-12,389173
2007-03-13,377976
2007-03-14,360949
2007-03-15,378766
2007-03-16,414741
2007-03-17,416716
2007-03-18,392336
2007-03-19,422966
2007-03-20,389180
2007-03-21,387620
2007-03-22,370075
2007-03-23,367354
2007-03-24,336535
2007-03-25,313988
2007-03-26,350720
2007-03-27,362880
2007-03-28,362299
2007-03-29,365155
2007-03-30,365173
2007-03-31,329069
2007-04-01,308528
2007-04-02,340652
2007-04-03,355268
2007-04-04,359936
2007-04-05,406214
2007-04-06,396321
2007-04-07,393552
2007-04-08,382645
2007-04-09,397022
2007-04-10,404869
2007-04-11,393735
2007-04-12,392568
2007-04-13,395951
2007-04-14,361855
2007-04-15,354209
2007-04-16,393098
2007-04-17,382351
2007-04-18,366119
