"","Impuestos","fecha"
"164",4866023.329831,2013-08-01
"165",10063795.959286,2013-09-01
"166",4167293.499704,2013-10-01
"167",7239236.29982,2013-11-01
"168",4182751.390076,2013-12-01
"169",10569708.892817,2014-01-01
"170",7203846.568918,2014-02-01
"171",6896415.057316,2014-03-01
"172",10972131.600347,2014-04-01
"173",10054200.60967,2014-05-01
"174",9788246.487283,2014-06-01
"175",7642391.062805,2014-07-01
"176",4445431.843,2014-08-01
"177",11387008.619,2014-09-01
"178",4577108.505,2014-10-01
"179",8135615.769,2014-11-01
"180",4611759.97,2014-12-01
"181",11701277.07,2015-01-01
"182",5226970.741,2015-02-01
"183",7309121.61,2015-03-01
"184",12058292.331,2015-04-01
"185",11332506.104,2015-05-01
"186",10735402.726,2015-06-01
"187",8121520.646,2015-07-01
"188",5081415.192,2015-08-01
"189",12622977.873,2015-09-01
"190",5294696.839,2015-10-01
"191",8518245.037,2015-11-01
"192",5153056.401,2015-12-01
"193",12488490.952,2016-01-01
"194",5168470.397,2016-02-01
"195",7692738.59,2016-03-01
"196",12574216.648,2016-04-01
"197",11430928.066,2016-05-01
"198",11854213.926,2016-06-01
"199",8393888.992,2016-07-01
"200",5393122.836,2016-08-01
"201",12481697.073,2016-09-01
"202",5300186.667,2016-10-01
"203",8965161.847,2016-11-01
"204",5399612.895,2016-12-01
"205",13552459.203,2017-01-01
"206",5463138.733,2017-02-01
"207",8466785.653,2017-03-01
"208",12237599.991,2017-04-01
"209",12728626.894,2017-05-01
"210",11643358.077,2017-06-01
"211",9620368.181,2017-07-01
"212",5819547.419,2017-08-01
"213",13590556.962,2017-09-01
"214",5801681.735,2017-10-01
"215",10203803.652,2017-11-01
"216",5765672.033,2017-12-01
"217",14494083,2018-01-01
"218",6234493,2018-02-01
"219",9360083.8,2018-03-01
"220",11196903,2018-04-01
"221",11723467,2018-05-01
"222",11024899,2018-06-01
"223",10475498,2018-07-01
"224",6866533,2018-08-01
"225",13049128,2018-09-01
"226",6722496,2018-10-01
"227",10752137,2018-11-01
"228",9452338.76248,2018-12-01
"229",15251462.161511,2019-01-01
"230",7035563.580153,2019-02-01
"231",10129719.492981,2019-03-01
"232",11733063.294883,2019-04-01
"233",13231208.945851,2019-05-01
"234",12012517.082072,2019-06-01
"235",11832204.427717,2019-07-01
"236",7345402.853618,2019-08-01
"237",15470373.092204,2019-09-01
"238",7454065.018312,2019-10-01
"239",12070588.729947,2019-11-01
"240",7368776.110197,2019-12-01
"241",17325955.123376,2020-01-01
"242",7828534.289226,2020-02-01
"243",10523855.956889,2020-03-01
"244",8627469.334906,2020-04-01
"245",11140732.323555,2020-05-01
"246",10703990.016544,2020-06-01
"247",9355941.241747,2020-07-01
"248",6541656.68867,2020-08-01
"249",13179365.127277,2020-09-01
"250",7249773.23344,2020-10-01
"251",12619569.642307,2020-11-01
"252",7351407.1170449,2020-12-01
"253",16452359.782165,2021-01-01
"254",7238111.94829,2021-02-01
"255",11068833.115683,2021-03-01
"256",11395800.670718,2021-04-01
"257",13846570.672614,2021-05-01
"258",10985264.909232,2021-06-01
"259",12078552.75116,2021-07-01
"260",8202249.08184,2021-08-01
"261",15994227.98233,2021-09-01
"262",8133232.408326,2021-10-01
"263",14691732.019294,2021-11-01
"264",9528864.859702,2021-12-01
"265",19677284.555742,2022-01-01
"266",9006955.195025,2022-02-01
"267",13829999.791574,2022-03-01
"268",17606762.015163,2022-04-01
"269",17359859.732534,2022-05-01
"270",14739748.784043,2022-06-01
"271",18276784.607837,2022-07-01
"272",11163887.954011,2022-08-01
"273",20018432.144226,2022-09-01
"274",10264124.557049,2022-10-01
"275",17116671.070777,2022-11-01
"276",10459926.617428,2022-12-01
"277",25192326.484987,2023-01-01
"278",11282249.033091,2023-02-01
"279",16115744.317214,2023-03-01
"280",27890911.776328,2023-04-01
"281",22164990.491362,2023-05-01
"282",23373603.704271,2023-06-01
